--- seqs per file 30000
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP7,0.20550313725319563,252.14347982406616,23.885362148284912,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP8,0.08794106232581632,221.36763787269592,25.48182487487793,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP9,0.15183989107709084,291.45759677886963,23.44696283340454,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP10,0.06585114517667992,259.5990722179413,24.292112588882446,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP11,-0.10173196242382748,868.006796836853,24.13346552848816,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP12,0.3442674681557241,148.60525798797607,23.007904291152954,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP13,0.407161676031366,208.4336576461792,23.952508449554443,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP14,0.06385218684323082,203.45533657073975,24.068563222885132,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP15,0.10061238932012868,265.5445442199707,23.307939052581787,93015700,"('x', 'x', 'x', '+', '+', '+')"
RBP16,0.23461796933720114,280.56291604042053,21.304441928863525,93015700,"('x', 'x', 'x', '+', '+', '+')"
--- Testing RBP11 combinations. It is different amount of files, so lets see some connection.
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed
RBP11,2.612410912269899e-05,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', '+', '+')"
RBP11,-0.1513176336336342,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', '+', '-')"
RBP11,-0.15131763363363426,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', '+', 'x')"
RBP11,-0.1673715652391501,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', '-', '+')"
RBP11,-0.16096035110907456,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', '-', '-')"
RBP11,-0.1609603511090743,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', '-', 'x')"
RBP11,-0.16737156523914973,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', 'x', '+')"
RBP11,-0.1609603511090743,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', 'x', '-')"
RBP11,-0.1609603511090745,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '+', 'x', 'x')"
RBP11,0.05692756623545081,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', '+', '+')"
RBP11,-0.1373038641390761,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', '+', '-')"
RBP11,-0.13730386413907614,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', '+', 'x')"
RBP11,-0.14244224763296018,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', '-', '+')"
RBP11,-0.1549420438209086,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', '-', '-')"
RBP11,-0.1549420438209086,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', '-', 'x')"
RBP11,-0.1424422476329603,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', 'x', '+')"
RBP11,-0.1549420438209087,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', 'x', '-')"
RBP11,-0.15494204382090837,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', '-', 'x', 'x')"
RBP11,0.0569275662354509,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', '+', '+')"
RBP11,-0.13730386413907616,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', '+', '-')"
RBP11,-0.1373038641390763,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', '+', 'x')"
RBP11,-0.1424422476329603,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', '-', '+')"
RBP11,-0.15494204382090876,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', '-', '-')"
RBP11,-0.15494204382090837,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', '-', 'x')"
RBP11,-0.1424422476329601,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', 'x', '+')"
RBP11,-0.1549420438209084,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', 'x', '-')"
RBP11,-0.15494204382090856,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '+', 'x', 'x', 'x')"
RBP11,0.04859536490289746,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', '+', '+')"
RBP11,-0.12989030804611734,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', '+', '-')"
RBP11,-0.12989030804611715,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', '+', 'x')"
RBP11,-0.12927514029858453,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', '-', '+')"
RBP11,-0.151544348875362,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', '-', '-')"
RBP11,-0.151544348875362,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', '-', 'x')"
RBP11,-0.1292751402985846,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', 'x', '+')"
RBP11,-0.151544348875362,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', 'x', '-')"
RBP11,-0.15154434887536222,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '+', 'x', 'x')"
RBP11,0.05281023893317762,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', '+', '+')"
RBP11,-0.10217441284738327,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', '+', '-')"
RBP11,-0.10217441284738334,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', '+', 'x')"
RBP11,-0.08597699167896637,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', '-', '+')"
RBP11,-0.13805424455409832,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', '-', '-')"
RBP11,-0.13805424455409832,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', '-', 'x')"
RBP11,-0.0859769916789663,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', 'x', '+')"
RBP11,-0.13805424455409832,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', 'x', '-')"
RBP11,-0.13805424455409823,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', '-', 'x', 'x')"
RBP11,0.05281023893317764,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', '+', '+')"
RBP11,-0.10217441284738331,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', '+', '-')"
RBP11,-0.10217441284738335,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', '+', 'x')"
RBP11,-0.0859769916789663,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', '-', '+')"
RBP11,-0.13805424455409832,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', '-', '-')"
RBP11,-0.13805424455409823,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', '-', 'x')"
RBP11,-0.0859769916789663,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', 'x', '+')"
RBP11,-0.13805424455409823,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', 'x', '-')"
RBP11,-0.13805424455409812,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', '-', 'x', 'x', 'x')"
RBP11,0.04859536490289747,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', '+', '+')"
RBP11,-0.12989030804611723,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', '+', '-')"
RBP11,-0.1298903080461173,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', '+', 'x')"
RBP11,-0.12927514029858453,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', '-', '+')"
RBP11,-0.151544348875362,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', '-', '-')"
RBP11,-0.15154434887536222,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', '-', 'x')"
RBP11,-0.12927514029858453,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', 'x', '+')"
RBP11,-0.15154434887536222,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', 'x', '-')"
RBP11,-0.15154434887536222,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '+', 'x', 'x')"
RBP11,0.052810238933177614,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', '+', '+')"
RBP11,-0.10217441284738339,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', '+', '-')"
RBP11,-0.10217441284738335,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', '+', 'x')"
RBP11,-0.0859769916789663,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', '-', '+')"
RBP11,-0.13805424455409832,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', '-', '-')"
RBP11,-0.13805424455409823,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', '-', 'x')"
RBP11,-0.08597699167896634,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', 'x', '+')"
RBP11,-0.13805424455409834,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', 'x', '-')"
RBP11,-0.13805424455409812,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', '-', 'x', 'x')"
RBP11,0.0528102389331776,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', '+', '+')"
RBP11,-0.10217441284738331,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', '+', '-')"
RBP11,-0.1021744128473833,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', '+', 'x')"
RBP11,-0.08597699167896634,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', '-', '+')"
RBP11,-0.13805424455409826,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', '-', '-')"
RBP11,-0.13805424455409812,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', '-', 'x')"
RBP11,-0.08597699167896632,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', 'x', '+')"
RBP11,-0.13805424455409826,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', 'x', '-')"
RBP11,-0.1380542445540982,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '+', 'x', 'x', 'x', 'x')"
RBP11,0.04979519293236111,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', '+', '+')"
RBP11,-0.13461688999735724,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', '+', '-')"
RBP11,-0.13461688999735727,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', '+', 'x')"
RBP11,-0.13736009287219114,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', '-', '+')"
RBP11,-0.15449807582510058,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', '-', '-')"
RBP11,-0.1544980758251005,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', '-', 'x')"
RBP11,-0.13736009287219136,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', 'x', '+')"
RBP11,-0.15449807582510064,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', 'x', '-')"
RBP11,-0.15449807582510044,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '+', 'x', 'x')"
RBP11,0.053694415539534184,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', '+', '+')"
RBP11,-0.1065039755630665,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', '+', '-')"
RBP11,-0.10650397556306654,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', '+', 'x')"
RBP11,-0.09144344527307306,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', '-', '+')"
RBP11,-0.1412832418681836,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', '-', '-')"
RBP11,-0.1412832418681836,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', '-', 'x')"
RBP11,-0.09144344527307312,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', 'x', '+')"
RBP11,-0.1412832418681836,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', 'x', '-')"
RBP11,-0.14128324186818347,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', '-', 'x', 'x')"
RBP11,0.05369441553953416,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', '+', '+')"
RBP11,-0.10650397556306654,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', '+', '-')"
RBP11,-0.10650397556306646,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', '+', 'x')"
RBP11,-0.09144344527307312,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', '-', '+')"
RBP11,-0.1412832418681836,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', '-', '-')"
RBP11,-0.14128324186818347,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', '-', 'x')"
RBP11,-0.09144344527307322,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', 'x', '+')"
RBP11,-0.14128324186818347,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', 'x', '-')"
RBP11,-0.14128324186818347,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '+', 'x', 'x', 'x')"
RBP11,0.04975687120975403,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', '+', '+')"
RBP11,-0.09783254720114637,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', '+', '-')"
RBP11,-0.09783254720114652,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', '+', 'x')"
RBP11,-0.08036054181503285,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', '-', '+')"
RBP11,-0.1360614156657246,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', '-', '-')"
RBP11,-0.1360614156657246,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', '-', 'x')"
RBP11,-0.08036054181503276,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', 'x', '+')"
RBP11,-0.1360614156657246,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', 'x', '-')"
RBP11,-0.1360614156657246,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '+', 'x', 'x')"
RBP11,0.05220755684283361,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', '+', '+')"
RBP11,-0.07065413923964052,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', '+', '-')"
RBP11,-0.07065413923964059,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', '+', 'x')"
RBP11,-0.04847498373219073,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', '-', '+')"
RBP11,-0.11830768873454652,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', '-', '-')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', '-', 'x')"
RBP11,-0.04847498373219073,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', 'x', '+')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', 'x', '-')"
RBP11,-0.11830768873454678,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', '-', 'x', 'x')"
RBP11,0.05220755684283371,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', '+', '+')"
RBP11,-0.07065413923964062,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', '+', '-')"
RBP11,-0.07065413923964046,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', '+', 'x')"
RBP11,-0.04847498373219073,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', '-', '+')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', '-', '-')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', '-', 'x')"
RBP11,-0.04847498373219067,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', 'x', '+')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', 'x', '-')"
RBP11,-0.11830768873454678,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', '-', 'x', 'x', 'x')"
RBP11,0.04975687120975401,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', '+', '+')"
RBP11,-0.09783254720114648,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', '+', '-')"
RBP11,-0.09783254720114659,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', '+', 'x')"
RBP11,-0.08036054181503278,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', '-', '+')"
RBP11,-0.13606141566572466,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', '-', '-')"
RBP11,-0.1360614156657246,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', '-', 'x')"
RBP11,-0.08036054181503288,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', 'x', '+')"
RBP11,-0.1360614156657246,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', 'x', '-')"
RBP11,-0.1360614156657246,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '+', 'x', 'x')"
RBP11,0.05220755684283371,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', '+', '+')"
RBP11,-0.07065413923964052,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', '+', '-')"
RBP11,-0.07065413923964046,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', '+', 'x')"
RBP11,-0.04847498373219073,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', '-', '+')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', '-', '-')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', '-', 'x')"
RBP11,-0.04847498373219067,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', 'x', '+')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', 'x', '-')"
RBP11,-0.11830768873454679,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', '-', 'x', 'x')"
RBP11,0.05220755684283378,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', '+', '+')"
RBP11,-0.07065413923964045,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', '+', '-')"
RBP11,-0.07065413923964049,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', '+', 'x')"
RBP11,-0.04847498373219072,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', '-', '+')"
RBP11,-0.11830768873454688,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', '-', '-')"
RBP11,-0.11830768873454679,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', '-', 'x')"
RBP11,-0.04847498373219069,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', 'x', '+')"
RBP11,-0.11830768873454679,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', 'x', '-')"
RBP11,-0.11830768873454654,669.7631802558899,28.95651650428772,93015700,"('+', '+', '+', '+', '+', '-', 'x', 'x', 'x', 'x')"
